water_point_id,district,sector,latitude,longitude,technology_type,year_installed,population_served,monthly_rainfall,current_status
TR-0028,Rwamagana,Sector-3,-2.445,30.5862,borehole,2008,1049,125.3,Functional
TR-0029,Gatsibo,Sector-4,-2.2466,30.5527,borehole,2012,925,101.5,Functional
TR-0030,Gatsibo,Sector-1,-2.1873,30.892,borehole,2006,1066,77.2,Non-Functional
TR-0031,Gatsibo,Sector-1,-1.5293,30.8994,solar_pump,2019,698,47.7,Functional
TR-0032,Bugesera,Sector-3,-2.2300,30.1240,piped_kiosk,2008,1098,118.2,Functional
TR-0033,Nyagatare,Sector-1,-1.3377,29.9952,borehole,2012,1287,42.0,Non-Functional
TR-0034,Gatsibo,Sector-2,-1.2216,30.6278,hand_pump,2023,1239,52.4,Non-Functional
TR-0035,Rwamagana,Sector-4,-1.2247,30.8767,hand_pump,2016,1013,119.5,Functional
TR-0036,Nyagatare,Sector-1,-1.2658,30.2183,solar_pump,2013,168,75.9,Functional
TR-0037,Rwamagana,Sector-4,-2.4994,30.3612,piped_kiosk,2015,1181,100.4,Functional
TR-0038,Rwamagana,Sector-1,-2.4071,30.3248,hand_pump,2019,637,82.9,Non-Functional
TR-0039,Bugesera,Sector-1,-2.173278,29.997759,hand_pump,2009,1210,90.1,Functional
TR-0040,Kayonza,Sector-3,-1.8259,30.5723,borehole,2017,900,49.4,Functional
TR-0041,Nyagatare,Sector-4,-2.4642,30.2533,hand_pump,2021,1419,42.8,Functional
TR-0042,Kayonza,Sector-1,-1.4159,30.6875,piped_kiosk,2015,594,52.1,Functional
TR-0043,Kayonza,Sector-2,-1.7365,30.7321,hand_pump,2013,1495,32.9,Non-Functional
TR-0044,Bugesera,Sector-5,-2.1980,30.0310,hand_pump,2007,1363,115.5,Non-Functional
TR-0045,Nyagatare,Sector-5,-2.3686,30.3167,protected_spring,2009,583,47.6,Non-Functional
TR-0046,Rwamagana,Sector-3,-2.2454,30.2215,hand_pump,2022,813,79.6,Functional
TR-0047,Gatsibo,Sector-3,-2.3756,30.6488,hand_pump,2015,887,106.1,Functional
TR-0048,Rwamagana,Sector-2,-1.4073,30.7014,hand_pump,2010,1248,105.1,Non-Functional
TR-0049,Kayonza,Sector-4,-1.7821,30.3913,hand_pump,2012,1127,65.4,Functional
TR-0050,Kayonza,Sector-3,-1.5708,30.793,hand_pump,2015,1375,69.8,Functional
TR-0051,Kayonza,Sector-2,-2.1856,30.0439,hand_pump,2015,642,129.4,Functional
TR-0052,Nyagatare,Sector-1,-2.0802,30.7791,hand_pump,2018,847,92.6,Functional
TR-0053,Bugesera,Sector-1,-2.075579,30.038485,hand_pump,2009,734,108.7,Functional
TR-0054,Gatsibo,Sector-5,-1.536,30.0535,borehole,2017,1462,118.8,Non-Functional
TR-0055,Gatsibo,Sector-3,-1.5187,30.4338,solar_pump,2013,543,105.6,Functional
TR-0056,Nyagatare,Sector-3,-2.3105,29.9675,borehole,2022,972,36.3,Non-Functional
TR-0057,Gatsibo,Sector-3,-1.2818,29.9528,hand_pump,2008,262,79.6,Non-Functional
TR-0058,Nyagatare,Sector-4,-2.4311,29.9005,borehole,2007,1372,26.7,Non-Functional
TR-0059,Kayonza,Sector-1,-1.3454,30.3363,piped_kiosk,2013,664,90.1,Functional
TR-0060,Kayonza,Sector-1,-2.4594,30.6746,piped_kiosk,2014,597,124.9,Functional
TR-0061,Rwamagana,Sector-2,-2.2296,29.9348,hand_pump,2018,966,74.0,Functional
TR-0062,Kayonza,Sector-3,-1.4149,30.5523,hand_pump,2012,838,64.8,Functional
TR-0063,Bugesera,Sector-4,-2.357188,30.307038,hand_pump,2022,1368,19.1,Functional
TR-0064,Rwamagana,Sector-3,-2.021,30.068,hand_pump,2014,887,125.4,Non-Functional
TR-0065,Gatsibo,Sector-3,-1.9702,30.0469,borehole,2007,865,26.8,Non-Functional
TR-0066,Bugesera,Sector-5,-2.3550,30.3100,borehole,2007,239,19.7,Functional
TR-0067,Rwamagana,Sector-1,-1.6057,30.7231,hand_pump,2023,113,43.3,Non-Functional
TR-0068,Bugesera,Sector-3,-2.1130,30.0620,borehole,2007,685,22.5,Functional
TR-0069,Nyagatare,Sector-3,-1.3756,30.7192,borehole,2023,1597,67.3,Functional
TR-0070,Gatsibo,Sector-3,-2.1249,29.9928,hand_pump,2010,1474,74.4,Non-Functional
TR-0071,Kayonza,Sector-5,-1.8568,30.2945,piped_kiosk,2006,1036,50.9,Functional
TR-0072,Nyagatare,Sector-2,-2.2522,30.6378,hand_pump,2010,1038,20.9,Non-Functional
TR-0073,Gatsibo,Sector-5,-2.2573,30.1575,protected_spring,2016,675,27.8,Non-Functional
TR-0074,Nyagatare,Sector-2,-2.3742,30.6523,hand_pump,2013,349,59.2,Functional
TR-0075,Kayonza,Sector-3,-1.284,30.4042,piped_kiosk,2019,92,22.0,Functional
TR-0076,Gatsibo,Sector-3,-1.3568,30.6503,protected_spring,2016,595,95.3,Functional
TR-0077,Bugesera,Sector-5,-2.2240,30.0940,protected_spring,2012,561,38.8,Functional
TR-0078,Bugesera,Sector-3,-2.084993,30.031441,piped_kiosk,2017,371,49.7,Functional
TR-0079,Gatsibo,Sector-2,-1.9131,30.1192,piped_kiosk,2023,473,60.3,Functional
TR-0080,Kayonza,Sector-1,-1.8584,30.1084,solar_pump,2012,117,62.9,Non-Functional
TR-0081,Rwamagana,Sector-2,-1.8488,30.6515,piped_kiosk,2007,1004,15.2,Functional
TR-0082,Gatsibo,Sector-5,-1.9916,30.0189,hand_pump,2012,1489,27.9,Non-Functional
TR-0083,Nyagatare,Sector-1,-2.4155,29.986,borehole,2020,1130,114.2,Functional
TR-0084,Rwamagana,Sector-5,-2.4241,30.0763,borehole,2009,761,15.1,Non-Functional
TR-0085,Kayonza,Sector-3,-1.2669,30.0753,piped_kiosk,2023,718,73.4,Functional
TR-0086,Kayonza,Sector-1,-1.9252,30.7231,borehole,2016,547,71.3,Non-Functional
TR-0087,Nyagatare,Sector-2,-1.2655,30.2985,borehole,2016,296,53.3,Non-Functional
TR-0088,Bugesera,Sector-3,-2.054483,30.142794,solar_pump,2011,989,64.6,Non-Functional
TR-0089,Kayonza,Sector-2,-1.8238,30.0372,hand_pump,2022,941,104.8,Functional
TR-0090,Rwamagana,Sector-1,-2.3092,30.5535,hand_pump,2005,91,111.7,Functional
TR-0091,Gatsibo,Sector-4,-2.2455,30.3487,borehole,2010,711,44.9,Non-Functional
TR-0092,Rwamagana,Sector-4,-2.5579,30.2929,borehole,2012,502,52.1,Functional
TR-0093,Rwamagana,Sector-1,-2.4335,30.7751,hand_pump,2014,338,42.9,Functional
TR-0094,Bugesera,Sector-2,-2.3430,30.0120,borehole,2014,1148,70.2,Non-Functional
TR-0095,Rwamagana,Sector-2,-2.1499,30.7729,borehole,2007,879,93.6,Non-Functional
TR-0096,Bugesera,Sector-4,-2.3680,30.3140,hand_pump,2009,1043,41.2,Non-Functional
TR-0097,Bugesera,Sector-4,-2.2450,30.0980,borehole,2006,1164,53.0,Non-Functional
TR-0098,Kayonza,Sector-4,-2.0394,30.5561,solar_pump,2015,1572,122.0,Non-Functional
TR-0099,Kayonza,Sector-5,-1.8554,30.1891,hand_pump,2011,1300,20.6,Non-Functional
TR-0100,Nyagatare,Sector-4,-2.3379,30.6347,protected_spring,2015,1022,68.0,Functional
TR-0101,Rwamagana,Sector-2,-1.216,30.4664,protected_spring,2016,1416,96.8,Functional
TR-0102,Nyagatare,Sector-1,-1.4544,30.4509,borehole,2018,805,32.3,Functional
TR-0103,Rwamagana,Sector-4,-1.5617,30.7285,hand_pump,2015,1576,20.4,Functional
TR-0104,Nyagatare,Sector-5,-1.9437,30.6105,borehole,2017,1237,30.9,Non-Functional
TR-0105,Kayonza,Sector-5,-2.386,29.9266,piped_kiosk,2016,1069,120.7,Non-Functional
TR-0106,Kayonza,Sector-2,-1.3111,29.9495,solar_pump,2017,1453,16.1,Functional
TR-0107,Kayonza,Sector-2,-2.1221,30.5016,piped_kiosk,2016,862,36.7,Non-Functional
TR-0108,Kayonza,Sector-1,-2.5299,30.3862,borehole,2011,1175,18.6,Functional
TR-0109,Gatsibo,Sector-1,-2.1206,30.1602,solar_pump,2009,512,27.7,Functional
TR-0110,Kayonza,Sector-3,-1.4878,30.3187,hand_pump,2019,1544,86.3,Non-Functional
TR-0111,Bugesera,Sector-3,-2.1330,30.1810,solar_pump,2011,1027,42.8,Functional
TR-0112,Kayonza,Sector-2,-1.5488,30.7266,hand_pump,2015,1268,80.5,Non-Functional
TR-0113,Gatsibo,Sector-2,-1.4889,30.4612,solar_pump,2008,780,82.9,Functional
TR-0114,Gatsibo,Sector-5,-2.3033,30.2854,piped_kiosk,2013,1397,112.7,Non-Functional
TR-0115,Gatsibo,Sector-3,-1.3067,30.1707,hand_pump,2015,192,15.5,Non-Functional
TR-0116,Gatsibo,Sector-5,-1.9868,30.4219,solar_pump,2016,253,113.1,Functional
TR-0117,Nyagatare,Sector-5,-1.7054,30.2147,hand_pump,2015,850,86.2,Non-Functional
TR-0118,Nyagatare,Sector-2,-2.5968,30.4641,solar_pump,2011,1193,33.7,Functional
TR-0119,Bugesera,Sector-2,-2.065478,30.126745,hand_pump,2023,1310,103.9,Non-Functional
TR-0120,Nyagatare,Sector-5,-2.2067,29.9661,protected_spring,2014,748,113.4,Functional
TR-0121,Gatsibo,Sector-4,-2.5131,29.9011,hand_pump,2020,1067,44.2,Functional
TR-0122,Kayonza,Sector-2,-1.9584,30.1123,protected_spring,2018,920,120.7,Functional
TR-0123,Kayonza,Sector-4,-2.4194,30.7945,piped_kiosk,2015,1541,67.3,Functional
TR-0124,Gatsibo,Sector-3,-2.3867,30.5463,borehole,2021,1074,84.4,Non-Functional
TR-0125,Rwamagana,Sector-5,-1.7148,30.072,piped_kiosk,2007,713,128.2,Functional
TR-0126,Gatsibo,Sector-2,-2.0499,30.7903,piped_kiosk,2022,1554,56.6,Non-Functional
TR-0127,Nyagatare,Sector-5,-1.3094,30.37,protected_spring,2021,243,108.5,Functional
TR-0128,Kayonza,Sector-5,-2.1532,30.3761,hand_pump,2014,1576,51.6,Non-Functional
TR-0129,Gatsibo,Sector-1,-1.5833,30.8355,borehole,2018,314,106.9,Functional
TR-0130,Kayonza,Sector-1,-1.9545,29.9595,hand_pump,2014,518,84.1,Non-Functional
TR-0131,Gatsibo,Sector-3,-1.6761,30.1152,solar_pump,2010,1328,39.9,Functional
TR-0132,Gatsibo,Sector-1,-1.7604,30.4858,hand_pump,2020,1195,62.6,Non-Functional
TR-0133,Nyagatare,Sector-2,-1.9381,30.0955,borehole,2009,1554,51.5,Non-Functional
TR-0134,Gatsibo,Sector-3,-1.2699,30.5795,borehole,2010,1219,24.0,Functional
TR-0135,Kayonza,Sector-5,-2.1202,30.1141,borehole,2014,1048,18.4,Non-Functional
TR-0136,Bugesera,Sector-5,-2.333706,30.013326,borehole,2020,606,54.8,Non-Functional
TR-0137,Kayonza,Sector-1,-1.6507,30.107,piped_kiosk,2012,87,17.2,Non-Functional
TR-0138,Nyagatare,Sector-5,-1.4156,30.3227,piped_kiosk,2014,268,34.0,Functional
TR-0139,Bugesera,Sector-1,-2.420149,30.125294,borehole,2005,532,98.4,Functional
TR-0140,Gatsibo,Sector-4,-1.9705,30.0347,borehole,2007,142,96.4,Functional
TR-0141,Rwamagana,Sector-5,-1.3505,30.7603,protected_spring,2006,852,99.9,Functional
TR-0142,Bugesera,Sector-5,-2.1910,30.0210,hand_pump,2006,1261,51.5,Non-Functional
TR-0143,Bugesera,Sector-2,-2.0760,30.0680,hand_pump,2021,1544,117.4,Functional
TR-0144,Gatsibo,Sector-5,-1.856,29.9553,hand_pump,2020,824,83.3,Functional
TR-0145,Rwamagana,Sector-1,-1.676,30.2574,solar_pump,2020,1410,29.5,Non-Functional
TR-0146,Rwamagana,Sector-3,-2.1765,30.1648,borehole,2006,1578,31.5,Non-Functional
TR-0147,Nyagatare,Sector-3,-1.2735,30.5105,piped_kiosk,2006,1386,94.7,Non-Functional
TR-0148,Bugesera,Sector-2,-2.0871,30.1054,solar_pump,2010,786,34.9,Non-Functional
TR-0149,Rwamagana,Sector-1,-1.5661,30.7884,hand_pump,2015,574,73.3,Functional
TR-0150,Nyagatare,Sector-4,-2.0356,30.8297,piped_kiosk,2011,1566,129.1,Functional
TR-0151,Rwamagana,Sector-2,-1.8135,29.9998,piped_kiosk,2014,447,15.5,Functional
TR-0152,Bugesera,Sector-4,-2.3610,30.3010,hand_pump,2008,705,16.9,Functional
TR-0153,Rwamagana,Sector-3,-1.8875,30.0153,borehole,2018,192,129.2,Functional
TR-0154,Bugesera,Sector-2,-2.1530,30.0430,hand_pump,2010,1286,82.2,Functional
TR-0155,Gatsibo,Sector-5,-2.013,30.022,hand_pump,2006,1067,29.6,Functional
TR-0156,Kayonza,Sector-1,-1.6941,30.7524,hand_pump,2019,208,118.2,Functional
TR-0157,Nyagatare,Sector-4,-2.1207,30.6543,protected_spring,2022,417,116.2,Functional
TR-0158,Gatsibo,Sector-4,-2.0286,30.7198,borehole,2005,924,76.7,Non-Functional
TR-0159,Gatsibo,Sector-2,-1.9839,30.4261,borehole,2013,901,86.5,Functional
TR-0160,Kayonza,Sector-2,-2.4239,30.8967,solar_pump,2020,1299,46.4,Non-Functional
TR-0161,Rwamagana,Sector-1,-2.4716,29.9442,borehole,2018,484,20.8,Functional
TR-0162,Kayonza,Sector-5,-1.6655,30.3013,protected_spring,2021,1485,83.4,Non-Functional
TR-0163,Gatsibo,Sector-5,-1.6823,30.2239,piped_kiosk,2012,755,48.9,Functional
TR-0164,Gatsibo,Sector-2,-1.6719,30.8486,borehole,2012,1330,91.3,Non-Functional
TR-0165,Gatsibo,Sector-1,-2.5723,30.4769,borehole,2018,442,111.2,Non-Functional
TR-0166,Rwamagana,Sector-1,-2.1428,30.7062,protected_spring,2007,136,17.1,Non-Functional
TR-0167,Bugesera,Sector-1,-2.3231,30.0703,solar_pump,2009,163,83.5,Functional
TR-0168,Nyagatare,Sector-5,-1.5106,30.8786,protected_spring,2016,646,41.6,Functional
TR-0169,Bugesera,Sector-5,-2.078711,30.024583,hand_pump,2017,1528,115.5,Functional
TR-0170,Nyagatare,Sector-1,-2.2546,30.3937,piped_kiosk,2007,154,44.2,Non-Functional
TR-0171,Nyagatare,Sector-4,-1.665,30.8709,solar_pump,2014,640,85.2,Functional
TR-0172,Nyagatare,Sector-1,-2.4189,30.2807,hand_pump,2011,246,78.7,Functional
TR-0173,Kayonza,Sector-2,-2.2148,30.2975,borehole,2014,1495,60.6,Non-Functional
TR-0174,Kayonza,Sector-3,-2.4059,30.4848,solar_pump,2023,1106,92.9,Functional
TR-0175,Kayonza,Sector-4,-2.2031,30.0281,hand_pump,2006,1239,98.5,Non-Functional
TR-0176,Gatsibo,Sector-5,-1.6554,30.2211,borehole,2023,1164,80.2,Functional
TR-0177,Kayonza,Sector-1,-1.3255,30.0932,piped_kiosk,2013,1078,102.2,Non-Functional
TR-0178,Nyagatare,Sector-1,-2.3165,30.0033,hand_pump,2019,1256,128.1,Functional
TR-0179,Rwamagana,Sector-2,-1.8411,30.7661,borehole,2013,92,63.2,Non-Functional
TR-0180,Gatsibo,Sector-2,-1.6181,30.4893,borehole,2010,1395,74.2,Functional
TR-0181,Rwamagana,Sector-5,-1.2659,30.2587,hand_pump,2019,1204,16.4,Functional
TR-0182,Nyagatare,Sector-4,-1.7459,30.3087,protected_spring,2018,1203,106.5,Functional
TR-0183,Gatsibo,Sector-2,-2.2429,30.3315,piped_kiosk,2007,678,74.8,Non-Functional
TR-0184,Kayonza,Sector-5,-1.7243,30.5331,hand_pump,2018,1297,61.9,Functional
TR-0185,Gatsibo,Sector-3,-2.1513,30.8268,protected_spring,2019,660,25.8,Functional
TR-0186,Gatsibo,Sector-3,-1.2334,30.8328,piped_kiosk,2012,154,117.3,Functional
TR-0187,Nyagatare,Sector-3,-2.0405,30.2915,hand_pump,2022,1459,60.4,Functional
TR-0188,Bugesera,Sector-1,-2.086424,30.234867,piped_kiosk,2017,436,93.5,Functional
TR-0189,Bugesera,Sector-5,-2.359681,30.295144,hand_pump,2011,234,32.2,Functional
TR-0190,Bugesera,Sector-1,-2.121743,30.255626,protected_spring,2005,1025,125.6,Non-Functional
TR-0191,Kayonza,Sector-1,-1.3748,30.3618,solar_pump,2017,435,35.5,Functional
TR-0192,Kayonza,Sector-2,-1.7457,30.5588,solar_pump,2008,1384,37.9,Functional
TR-0193,Kayonza,Sector-2,-1.9785,30.4544,hand_pump,2019,754,113.8,Functional
TR-0194,Bugesera,Sector-1,-2.2330,30.1070,piped_kiosk,2014,86,119.9,Functional
TR-0195,Rwamagana,Sector-1,-1.4044,30.2457,hand_pump,2013,1526,39.4,Non-Functional
TR-0196,Nyagatare,Sector-4,-2.1489,30.2786,hand_pump,2008,862,69.0,Functional
TR-0197,Bugesera,Sector-5,-2.1510,30.1410,hand_pump,2018,479,99.4,Functional
TR-0198,Nyagatare,Sector-1,-1.9142,30.0661,piped_kiosk,2008,1109,116.0,Non-Functional
TR-0199,Bugesera,Sector-2,-2.073969,30.096906,hand_pump,2012,886,58.6,Non-Functional
TR-0200,Rwamagana,Sector-3,-2.1322,30.2891,protected_spring,2020,125,74.5,Functional
TR-0201,Bugesera,Sector-5,-2.2581,30.1145,solar_pump,2022,1234,100.3,Functional
TR-0202,Rwamagana,Sector-4,-1.3223,30.4627,hand_pump,2023,690,99.1,Functional
TR-0203,Gatsibo,Sector-4,-1.3066,30.6555,hand_pump,2023,1143,105.0,Non-Functional
TR-0204,Kayonza,Sector-3,-1.4193,30.1574,hand_pump,2015,1441,80.5,Functional
TR-0205,Gatsibo,Sector-3,-1.2305,30.7268,solar_pump,2008,1008,27.0,Non-Functional
TR-0206,Bugesera,Sector-1,-2.346419,30.361278,piped_kiosk,2020,1100,119.0,Functional
TR-0207,Kayonza,Sector-5,-1.5295,30.4974,hand_pump,2020,467,114.5,Functional
TR-0208,Rwamagana,Sector-5,-1.5324,30.5689,piped_kiosk,2023,441,106.8,Functional
TR-0209,Bugesera,Sector-1,-2.1830,30.0130,hand_pump,2017,710,26.5,Functional
TR-0210,Kayonza,Sector-4,-1.961,30.8455,piped_kiosk,2007,1376,38.5,Non-Functional
TR-0211,Bugesera,Sector-1,-2.2637,30.2925,protected_spring,2014,876,100.5,Functional
TR-0212,Kayonza,Sector-4,-1.6973,30.8239,piped_kiosk,2013,609,17.7,Functional
TR-0213,Kayonza,Sector-5,-2.195,30.479,solar_pump,2021,1265,127.6,Functional
TR-0214,Gatsibo,Sector-1,-2.2391,29.9046,piped_kiosk,2012,1377,58.4,Functional
TR-0215,Kayonza,Sector-3,-1.7797,29.9385,hand_pump,2011,1451,97.7,Non-Functional
TR-0216,Bugesera,Sector-1,-2.351567,30.333849,hand_pump,2006,534,117.1,Functional
TR-0217,Nyagatare,Sector-3,-2.2936,30.4627,hand_pump,2020,1158,60.4,Non-Functional
TR-0218,Nyagatare,Sector-5,-1.4575,29.9265,borehole,2019,977,51.7,Functional
TR-0219,Gatsibo,Sector-1,-1.3952,30.6435,solar_pump,2005,762,85.0,Functional
TR-0220,Rwamagana,Sector-2,-2.3652,30.7521,solar_pump,2013,683,81.8,Functional
